,country_id,country_name,continent_name,date,confirmed,deaths,recovered,active,case_fatality,new_cases,new_deaths,new_recovered,population,vaccinated_per_hundred,fully_vaccinated_per_hundred,boosted_per_hundred,not_fully_vaccinated_per_hundred,hospital_occupancy
88,AUS,Australia,Oceania,2020-04-19,6610.0,67.0,4124.0,2419.0,1.01,42.0,0.0,0.0,25687041.0,0.0,0.0,0.0,0.0,170.0
89,AUS,Australia,Oceania,2020-04-20,6623.0,67.0,4291.0,2265.0,1.01,13.0,0.0,167.0,25687041.0,0.0,0.0,0.0,0.0,167.0
90,AUS,Australia,Oceania,2020-04-21,6645.0,67.0,4695.0,1883.0,1.01,22.0,0.0,404.0,25687041.0,0.0,0.0,0.0,0.0,161.0
91,AUS,Australia,Oceania,2020-04-22,6652.0,67.0,4932.0,1653.0,1.01,7.0,0.0,237.0,25687041.0,0.0,0.0,0.0,0.0,152.0
92,AUS,Australia,Oceania,2020-04-23,6662.0,75.0,5047.0,1540.0,1.13,10.0,8.0,115.0,25687041.0,0.0,0.0,0.0,0.0,138.0
93,AUS,Australia,Oceania,2020-04-24,6677.0,79.0,5136.0,1462.0,1.18,15.0,4.0,89.0,25687041.0,0.0,0.0,0.0,0.0,129.0
94,AUS,Australia,Oceania,2020-04-25,6694.0,80.0,5376.0,1238.0,1.2,17.0,1.0,240.0,25687041.0,0.0,0.0,0.0,0.0,115.0
95,AUS,Australia,Oceania,2020-04-26,6714.0,83.0,5541.0,1090.0,1.24,20.0,3.0,165.0,25687041.0,0.0,0.0,0.0,0.0,113.0
96,AUS,Australia,Oceania,2020-04-27,6721.0,83.0,5588.0,1050.0,1.23,7.0,0.0,47.0,25687041.0,0.0,0.0,0.0,0.0,109.0
97,AUS,Australia,Oceania,2020-04-28,6744.0,89.0,5665.0,990.0,1.32,23.0,6.0,77.0,25687041.0,0.0,0.0,0.0,0.0,93.0
98,AUS,Australia,Oceania,2020-04-29,6752.0,91.0,5715.0,946.0,1.35,8.0,2.0,50.0,25687041.0,0.0,0.0,0.0,0.0,89.0
99,AUS,Australia,Oceania,2020-04-30,6766.0,93.0,5742.0,931.0,1.37,14.0,2.0,27.0,25687041.0,0.0,0.0,0.0,0.0,83.0
100,AUS,Australia,Oceania,2020-05-01,6778.0,93.0,5775.0,910.0,1.37,12.0,0.0,33.0,25687041.0,0.0,0.0,0.0,0.0,79.0
101,AUS,Australia,Oceania,2020-05-02,6799.0,94.0,5814.0,891.0,1.38,21.0,1.0,39.0,25687041.0,0.0,0.0,0.0,0.0,75.0
102,AUS,Australia,Oceania,2020-05-03,6822.0,95.0,5849.0,878.0,1.39,23.0,1.0,35.0,25687041.0,0.0,0.0,0.0,0.0,70.0
103,AUS,Australia,Oceania,2020-05-04,6847.0,96.0,5887.0,864.0,1.4,25.0,1.0,38.0,25687041.0,0.0,0.0,0.0,0.0,66.0
104,AUS,Australia,Oceania,2020-05-05,6875.0,97.0,5975.0,803.0,1.41,28.0,1.0,88.0,25687041.0,0.0,0.0,0.0,0.0,62.0
105,AUS,Australia,Oceania,2020-05-06,6894.0,97.0,6031.0,766.0,1.41,19.0,0.0,56.0,25687041.0,0.0,0.0,0.0,0.0,58.0
106,AUS,Australia,Oceania,2020-05-07,6913.0,97.0,6078.0,738.0,1.4,19.0,0.0,47.0,25687041.0,0.0,0.0,0.0,0.0,56.0
107,AUS,Australia,Oceania,2020-05-08,6918.0,97.0,6122.0,699.0,1.4,5.0,0.0,44.0,25687041.0,0.0,0.0,0.0,0.0,51.0
108,AUS,Australia,Oceania,2020-05-09,6939.0,97.0,6141.0,701.0,1.4,21.0,0.0,19.0,25687041.0,0.0,0.0,0.0,0.0,43.0
109,AUS,Australia,Oceania,2020-05-10,6948.0,97.0,6167.0,684.0,1.4,9.0,0.0,26.0,25687041.0,0.0,0.0,0.0,0.0,49.0
110,AUS,Australia,Oceania,2020-05-11,6970.0,97.0,6213.0,660.0,1.39,22.0,0.0,46.0,25687041.0,0.0,0.0,0.0,0.0,47.0
111,AUS,Australia,Oceania,2020-05-12,6980.0,98.0,6270.0,612.0,1.4,10.0,1.0,57.0,25687041.0,0.0,0.0,0.0,0.0,50.0
112,AUS,Australia,Oceania,2020-05-13,6989.0,98.0,6297.0,594.0,1.4,9.0,0.0,27.0,25687041.0,0.0,0.0,0.0,0.0,51.0
